week,date,lift,weight,reps,calc1RM
1,2019-01-15,fsquat,160,8,202.624
1,2019-01-15,bench,180,8,227.952
1,2019-01-15,dead,310,7,382.261
1,2019-01-15,press,135,6,161.973
2,2019-01-22,fsquat,165,6,197.967
2,2019-01-22,bench,190,6,227.962
2,2019-01-22,dead,330,6,395.934
2,2019-01-22,press,140,7,172.634
3,2019-02-05,fsquat,175,5,204.1375
3,2019-02-05,bench,200,5,233.3
3,2019-02-05,dead,345,6,413.931
3,2019-02-05,press,145,4,164.314
