week,date,lift,weight,reps,calc1RM
1,2019-03-18,fsquat,175,5,204.1375
1,2019-03-18,bench,185,8,234.284
1,2019-03-18,dead,325,6,389.935
1,2019-03-18,press,145,5,169.1425
2,2019-03-25,fsquat,185,5,215.8025
2,2019-03-25,bench,200,5,233.3
2,2019-03-25,dead,345,5,402.4425
2,2019-03-25,press,155,4,175.646
3,2019-04-01,fsquat,195,4,220.974
3,2019-04-01,bench,210,4,237.972
3,2019-04-01,dead,365,5,425.7725
3,2019-04-01,press,160,2,170.656
